DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Euro area - 19 countries  (2015-2022),2016,1608242,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Euro area - 19 countries  (2015-2022),2017,1571460,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Euro area - 19 countries  (2015-2022),2018,1543348,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Euro area - 19 countries  (2015-2022),2019,1517892,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Euro area - 19 countries  (2015-2022),2020,1481891,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Euro area - 19 countries  (2015-2022),2021,1503243,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Euro area - 19 countries  (2015-2022),2022,1436897,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Euro area - 19 countries  (2015-2022),2023,1370545,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Euro area – 20 countries (from 2023),2013,1612781,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Euro area – 20 countries (from 2023),2014,1627198,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Euro area – 20 countries (from 2023),2015,1613676,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Euro area – 20 countries (from 2023),2016,1626707,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Euro area – 20 countries (from 2023),2017,1589171,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Euro area – 20 countries (from 2023),2018,1561215,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Euro area – 20 countries (from 2023),2019,1535549,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Euro area – 20 countries (from 2023),2020,1499347,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Euro area – 20 countries (from 2023),2021,1520783,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Euro area – 20 countries (from 2023),2022,1453525,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Euro area – 20 countries (from 2023),2023,1386360,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Estonia,2013,6630,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Estonia,2014,6630,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Estonia,2015,6735,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Estonia,2016,6688,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Estonia,2017,6593,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Estonia,2018,7022,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Estonia,2019,6887,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Estonia,2020,6473,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Estonia,2021,6459,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Estonia,2022,5632,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Estonia,2023,5386,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Greece,2013,45704,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Greece,2014,44765,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Greece,2015,44553,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Greece,2016,45016,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Greece,2017,42867,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Greece,2018,41915,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Greece,2019,40818,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Greece,2020,41233,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Greece,2021,41348,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Greece,2022,36706,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Greece,2023,34738,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Spain,2013,206065,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Spain,2014,206042,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Spain,2015,202929,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Spain,2016,198643,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Spain,2017,189823,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Spain,2018,180243,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Spain,2019,174229,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Spain,2020,166130,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Spain,2021,162956,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Spain,2022,159402,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Spain,2023,155634,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,European Union - 27 countries (from 2020),2013,2094334,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,European Union - 27 countries (from 2020),2014,2121009,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,European Union - 27 countries (from 2020),2015,2105447,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,European Union - 27 countries (from 2020),2016,2132790,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,European Union - 27 countries (from 2020),2017,2106234,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,European Union - 27 countries (from 2020),2018,2065767,,
